V_pop,0.00201,-0.00132,0.00207,0.000323,-0.00193,-0.00114,-0.000279,-0.0002,-0.000127,-0.000259,0.000119,-0.000159,-6.34e-05,-4.76e-05,3.34e-05,-7.13e-06,0.00101,6.67e-05,8.32e-05,2.59e-05
beta_V_logtHCT,-0.00132,0.19,-0.179,-0.000673,0.000704,-1.98e-05,0.00163,0.00216,0.00116,-0.00087,-0.0017,-0.0881,0.083,0.0017,-0.000228,-1.59e-05,3.99e-05,3.2e-05,-0.000483,-5.2e-05
beta_V_logtHb,0.00207,-0.179,0.187,-0.00142,-0.00149,-0.000175,-0.00151,-0.00217,-0.00127,0.0013,0.00202,0.083,-0.0857,-0.00155,0.000236,-0.00013,0.000203,7.67e-05,0.000513,4.64e-05
beta_V_logtWT,0.000323,-0.000673,-0.00142,0.00722,-0.000945,-6.78e-05,0.000455,-0.000351,0.000305,-0.000369,-0.00106,-0.000329,0.000576,-0.00031,4.05e-05,-1.01e-05,8.05e-05,5.61e-05,-0.0002,4.37e-06
beta_V_SEX_1,-0.00193,0.000704,-0.00149,-0.000945,0.00329,0.000948,5.87e-05,3.54e-05,-5.65e-05,0.000179,0.000155,9.94e-05,0.000209,0.000259,-6.73e-05,-5.29e-05,-0.00144,1.08e-05,3.14e-05,-4.5e-06
Cl_pop,-0.00114,-1.98e-05,-0.000175,-6.78e-05,0.000948,0.00283,0.000267,7.34e-05,0.000122,0.000969,0.000177,0.000422,9.37e-05,0.000304,-5.29e-05,-0.000109,-0.00265,-8.85e-05,-0.000179,-3.68e-05
beta_Cl_logtAGE,-0.000279,0.00163,-0.00151,0.000455,5.87e-05,0.000267,0.00831,-0.000108,-0.00137,0.000432,-0.000271,-0.00639,0.00529,0.00019,0.000264,0.000307,-0.000103,-1.66e-05,-0.000103,-7.52e-06
beta_Cl_logtAnionGap,-0.0002,0.00216,-0.00217,-0.000351,3.54e-05,7.34e-05,-0.000108,0.0151,8.16e-05,-0.00154,0.00574,-0.00708,0.00595,0.00222,-0.00188,-0.00131,0.000328,-1.15e-06,-9.3e-05,-1.81e-05
beta_Cl_logtBUN,-0.000127,0.00116,-0.00127,0.000305,-5.65e-05,0.000122,-0.00137,8.16e-05,0.00332,-0.00238,-0.00158,0.000593,0.00057,-0.00109,-5.81e-05,-0.000463,0.000152,-1.19e-05,-5.45e-05,-8.75e-06
beta_Cl_logtCreatinine,-0.000259,-0.00087,0.0013,-0.000369,0.000179,0.000969,0.000432,-0.00154,-0.00238,0.00494,0.00182,0.000543,-0.00158,-0.000722,-9.62e-05,-0.000651,-0.00112,6.4e-05,-6.44e-05,-1.59e-05
beta_Cl_logtHCO3,0.000119,-0.0017,0.00202,-0.00106,0.000155,0.000177,-0.000271,0.00574,-0.00158,0.00182,0.0186,-0.00506,0.00438,0.000467,0.00131,-1.52e-05,-0.000696,6.22e-05,4.72e-05,8.98e-06
beta_Cl_logtHCT,-0.000159,-0.0881,0.083,-0.000329,9.94e-05,0.000422,-0.00639,-0.00708,0.000593,0.000543,-0.00506,0.276,-0.256,-0.0124,-0.00149,-0.00194,0.00104,-0.000234,0.000367,3.07e-05
beta_Cl_logtHb,-6.34e-05,0.083,-0.0857,0.000576,0.000209,9.37e-05,0.00529,0.00595,0.00057,-0.00158,0.00438,-0.256,0.259,0.01,0.000614,0.00249,-0.0019,0.000159,-0.000344,-2.4e-05
beta_Cl_logtK,-4.76e-05,0.0017,-0.00155,-0.00031,0.000259,0.000304,0.00019,0.00222,-0.00109,-0.000722,0.000467,-0.0124,0.01,0.0303,-3.49e-05,-0.00434,-0.000825,-3.2e-05,-1.73e-05,5.54e-06
beta_Cl_logtLacticAcid,3.34e-05,-0.000228,0.000236,4.05e-05,-6.73e-05,-5.29e-05,0.000264,-0.00188,-5.81e-05,-9.62e-05,0.00131,-0.00149,0.000614,-3.49e-05,0.00271,-0.000149,8.32e-05,-3.63e-05,3.01e-05,2.36e-06
beta_Cl_logtP,-7.13e-06,-1.59e-05,-0.00013,-1.01e-05,-5.29e-05,-0.000109,0.000307,-0.00131,-0.000463,-0.000651,-1.52e-05,-0.00194,0.00249,-0.00434,-0.000149,0.00625,0.000368,1.48e-05,-2.3e-05,-2.03e-07
beta_Cl_SEX_1,0.00101,3.99e-05,0.000203,8.05e-05,-0.00144,-0.00265,-0.000103,0.000328,0.000152,-0.00112,-0.000696,0.00104,-0.0019,-0.000825,8.32e-05,0.000368,0.00395,-3.46e-05,3.57e-05,1.44e-05
omega_V,6.67e-05,3.2e-05,7.67e-05,5.61e-05,1.08e-05,-8.85e-05,-1.66e-05,-1.15e-06,-1.19e-05,6.4e-05,6.22e-05,-0.000234,0.000159,-3.2e-05,-3.63e-05,1.48e-05,-3.46e-05,0.000459,-7.6e-05,-1.49e-05
omega_Cl,8.32e-05,-0.000483,0.000513,-0.0002,3.14e-05,-0.000179,-0.000103,-9.3e-05,-5.45e-05,-6.44e-05,4.72e-05,0.000367,-0.000344,-1.73e-05,3.01e-05,-2.3e-05,3.57e-05,-7.6e-05,0.000468,-1.15e-05
b,2.59e-05,-5.2e-05,4.64e-05,4.37e-06,-4.5e-06,-3.68e-05,-7.52e-06,-1.81e-05,-8.75e-06,-1.59e-05,8.98e-06,3.07e-05,-2.4e-05,5.54e-06,2.36e-06,-2.03e-07,1.44e-05,-1.49e-05,-1.15e-05,4.54e-05
