parameter,value,se_sa,rse_sa
V_pop,77.6753352025717,3.4784253300947,4.47815940674503
beta_V_SEX_1,-0.0661246349709383,0.057354727603306,86.7373069484819
beta_V_logtHCT,0.0660500232902406,0.436150539089858,660.333664339984
beta_V_logtHb,0.349790490144491,0.432696033990383,123.701485941383
beta_V_logtWT,0.625808084948657,0.0849685793727996,13.5774179682851
Cl_pop,1.33251004533674,0.0708954734329928,5.32044570178656
beta_Cl_SEX_1,0.383930322063904,0.0628885307740353,16.3801937903638
beta_Cl_logtAGE,-0.748581985933576,0.0911696608358724,12.1789814007042
beta_Cl_logtAnionGap,-0.172635878677264,0.123025401001695,71.2629390508596
beta_Cl_logtBUN,-0.259039736709435,0.0576575479190103,22.2581865822713
beta_Cl_logtCreatinine,-0.584959711215101,0.0703195590251721,12.0212653413517
beta_Cl_logtHCO3,0.211139959268,0.136513628331294,64.6555151400863
beta_Cl_logtHCT,-1.3577650846507,0.525375317246489,38.6941248663532
beta_Cl_logtHb,2.01156557657526,0.508729449984597,25.2902244852848
beta_Cl_logtK,0.503661705271083,0.174075343894605,34.5619573759164
beta_Cl_logtLacticAcid,0.00974694677816283,0.0521003061215856,534.529502493147
beta_Cl_logtP,-0.171339147920843,0.0790477727789925,46.1352666557625
omega_V,0.506187903915614,0.0214220978102242,4.2320445914479
omega_Cl,0.607768566534522,0.0216224051208902,3.5576708489846
b,0.209549805257189,0.0067405171735108,3.21666592113407
