Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression
-2.10495,0.256766,-0.264992,-3.07336,0.363762,-0.178609
-2.06324,0.188344,-0.259648,-3.01837,0.202966,-0.175478
-2.02152,0.119921,-0.254303,-2.96338,0.0693375,-0.172346
-1.9798,0.0514991,-0.248959,-2.9084,-0.0520704,-0.169214
-1.93809,-0.0169232,-0.243614,-2.85341,-0.147469,-0.166083
-1.89637,-0.0853454,-0.238269,-2.79842,-0.226138,-0.162951
-1.85466,-0.153768,-0.232925,-2.74344,-0.282962,-0.15982
-1.81294,-0.22219,-0.22758,-2.68845,-0.327743,-0.156688
-1.77122,-0.243577,-0.222235,-2.63347,-0.353994,-0.153556
-1.72951,-0.262482,-0.216891,-2.57848,-0.369691,-0.150425
-1.68779,-0.27089,-0.211546,-2.52349,-0.372573,-0.147293
-1.64607,-0.272862,-0.206202,-2.46851,-0.369596,-0.144161
-1.60436,-0.269575,-0.200857,-2.41352,-0.355826,-0.14103
-1.56264,-0.262108,-0.195512,-2.35853,-0.333097,-0.137898
-1.52093,-0.251424,-0.190168,-2.30355,-0.308353,-0.134767
-1.47921,-0.238364,-0.184823,-2.24856,-0.278249,-0.131635
-1.43749,-0.224011,-0.179479,-2.19357,-0.246039,-0.128503
-1.39578,-0.209363,-0.174134,-2.13859,-0.21309,-0.125372
-1.35406,-0.195465,-0.168789,-2.0836,-0.181007,-0.12224
-1.31234,-0.183156,-0.163445,-2.02862,-0.151328,-0.119108
-1.27063,-0.17368,-0.1581,-1.97363,-0.125621,-0.115977
-1.22891,-0.167681,-0.152756,-1.91864,-0.105334,-0.112845
-1.1872,-0.166259,-0.147411,-1.86366,-0.0904869,-0.109714
-1.14548,-0.166609,-0.142066,-1.80867,-0.079675,-0.106582
-1.10376,-0.162842,-0.136722,-1.75368,-0.0714692,-0.10345
-1.06205,-0.149089,-0.131377,-1.6987,-0.0644198,-0.100319
-1.02033,-0.120269,-0.126033,-1.64371,-0.0571706,-0.097187
-0.978615,-0.0913569,-0.120688,-1.58873,-0.0505067,-0.0940554
-0.936899,-0.09595,-0.115343,-1.53374,-0.0475609,-0.0909238
-0.895182,-0.159772,-0.109999,-1.47875,-0.0515445,-0.0877922
-0.853466,-0.196299,-0.104654,-1.42377,-0.065344,-0.0846606
-0.81175,-0.101628,-0.0993096,-1.36878,-0.0852758,-0.0815289
-0.770034,-0.0309535,-0.093965,-1.31379,-0.101683,-0.0783973
-0.728317,-0.0949075,-0.0886204,-1.25881,-0.106021,-0.0752657
-0.686601,-0.157733,-0.0832758,-1.20382,-0.095893,-0.0721341
-0.644885,-0.1443,-0.0779312,-1.14883,-0.0718147,-0.0690024
-0.603169,-0.118139,-0.0725866,-1.09385,-0.0479038,-0.0658708
-0.561452,-0.124605,-0.067242,-1.03886,-0.0447233,-0.0627392
-0.519736,-0.0581755,-0.0618974,-0.983876,-0.0446867,-0.0596076
-0.47802,-0.127834,-0.0565528,-0.928889,-0.0152376,-0.0564759
-0.436304,-0.0378666,-0.0512082,-0.873903,-0.00905403,-0.0533443
-0.394587,0.0506965,-0.0458636,-0.818917,-0.0403774,-0.0502127
-0.352871,-0.0424015,-0.040519,-0.76393,-0.0141918,-0.0470811
-0.311155,-0.180503,-0.0351744,-0.708944,0.0450189,-0.0439494
-0.269439,-0.00352469,-0.0298298,-0.653958,-0.0161167,-0.0408178
-0.227722,0.0363855,-0.0244852,-0.598971,-0.0307025,-0.0376862
-0.186006,-0.0386605,-0.0191406,-0.543985,0.0103101,-0.0345546
-0.14429,0.0667636,-0.013796,-0.488999,-0.0179447,-0.031423
-0.102574,0.0152179,-0.00845139,-0.434012,-0.0655697,-0.0282913
-0.0608575,-0.00149406,-0.00310679,-0.379026,0.0253055,-0.0251597
-0.0191413,0.0313078,0.00223781,-0.32404,-0.116832,-0.0220281
0.0225749,0.0653875,0.00758242,-0.269054,-0.0827284,-0.0188965
0.0642912,0.0457687,0.012927,-0.214067,-0.0642494,-0.0157648
0.106007,0.0395525,0.0182716,-0.159081,-0.0467946,-0.0126332
0.147724,0.159253,0.0236162,-0.104095,-0.0406007,-0.00950159
0.18944,0.028144,0.0289608,-0.0491083,-0.057593,-0.00636997
0.231156,0.0162442,0.0343054,0.00587805,-0.0124494,-0.00323835
0.272872,0.0402619,0.03965,0.0608644,-0.035614,-0.000106722
0.314589,0.0728817,0.0449946,0.115851,0.000278662,0.0030249
0.356305,0.0295607,0.0503392,0.170837,0.0100545,0.00615652
0.398021,0.100394,0.0556838,0.225823,0.0304602,0.00928815
0.439737,0.0290627,0.0610284,0.28081,0.0234048,0.0124198
0.481454,0.000582054,0.066373,0.335796,0.058494,0.0155514
0.52317,0.0331802,0.0717176,0.390782,0.0513054,0.018683
0.564886,0.0982408,0.0770622,0.445769,-0.00184995,0.0218146
0.606602,0.161712,0.0824069,0.500755,-0.0218358,0.0249463
0.648319,0.151589,0.0877515,0.555741,0.0446307,0.0280779
0.690035,0.139618,0.0930961,0.610728,-0.0212807,0.0312095
0.731751,0.137429,0.0984407,0.665714,0.0413381,0.0343411
0.773467,0.120391,0.103785,0.7207,0.0635749,0.0374728
0.815183,0.084791,0.10913,0.775686,0.0473856,0.0406044
0.8569,0.0432646,0.114474,0.830673,0.0430399,0.043736
0.898616,0.0252469,0.119819,0.885659,0.0381252,0.0468676
0.940332,0.0403231,0.125164,0.940645,0.0670866,0.0499993
0.982048,0.0769498,0.130508,0.995632,0.109894,0.0531309
1.02376,0.121585,0.135853,1.05062,0.0889368,0.0562625
1.06548,0.159355,0.141197,1.1056,0.0525798,0.0593941
1.1072,0.175462,0.146542,1.16059,0.0430269,0.0625257
1.14891,0.161855,0.151887,1.21558,0.0518975,0.0656574
1.19063,0.129624,0.157231,1.27056,0.0696774,0.068789
1.23235,0.0932117,0.162576,1.32555,0.0873366,0.0719206
1.27406,0.06652,0.16792,1.38054,0.0889897,0.0750522
1.31578,0.0544791,0.173265,1.43552,0.061053,0.0781839
1.35749,0.0545929,0.17861,1.49051,0.0205113,0.0813155
1.39921,0.0644312,0.183954,1.54549,-0.00189897,0.0844471
1.44093,0.0809829,0.189299,1.60048,0.0126573,0.0875787
1.48264,0.101694,0.194644,1.65547,0.0531332,0.0907104
1.52436,0.123914,0.199988,1.71045,0.103495,0.093842
1.56608,0.144945,0.205333,1.76544,0.148571,0.0969736
1.60779,0.161941,0.210677,1.82043,0.18312,0.100105
1.64951,0.172537,0.216022,1.87541,0.208247,0.103237
1.69122,0.171472,0.221367,1.9304,0.2251,0.106368
1.73294,0.162794,0.226711,1.98539,0.235391,0.1095
1.77466,0.136772,0.232056,2.04037,0.239944,0.112632
1.81637,0.0948189,0.2374,2.09536,0.240095,0.115763
1.85809,0.0281562,0.242745,2.15034,0.237147,0.118895
1.89981,-0.0540072,0.24809,2.20533,0.232728,0.122027
1.94152,-0.172795,0.253434,2.26032,0.227698,0.125158
1.98324,-0.308219,0.258779,2.3153,0.223371,0.12829
2.02495,-0.473781,0.264123,2.37029,0.22108,0.131421
