V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
15.4755,0.000999001,0.150576,0.000999001,All
20.0952,0.001998,0.183417,0.001998,All
20.2349,0.002997,0.187841,0.002997,All
20.5107,0.003996,0.192091,0.003996,All
23.2103,0.004995,0.227086,0.004995,All
24.9406,0.00599401,0.247649,0.00599401,All
25.0531,0.00699301,0.294188,0.00699301,All
26.0877,0.00799201,0.300333,0.00799201,All
26.4099,0.00899101,0.305427,0.00899101,All
26.8721,0.00999001,0.326427,0.00999001,All
27.5775,0.010989,0.336272,0.010989,All
28.0576,0.011988,0.355244,0.011988,All
28.8504,0.012987,0.363738,0.012987,All
28.915,0.013986,0.371335,0.013986,All
29.6313,0.014985,0.375533,0.014985,All
30.0201,0.015984,0.394379,0.015984,All
30.1949,0.016983,0.427094,0.016983,All
31.459,0.017982,0.434867,0.017982,All
31.8267,0.018981,0.435159,0.018981,All
31.9073,0.01998,0.438146,0.01998,All
32.0471,0.020979,0.446362,0.020979,All
32.479,0.021978,0.44911,0.021978,All
32.9572,0.022977,0.450455,0.022977,All
34.156,0.023976,0.462654,0.023976,All
34.4231,0.024975,0.468576,0.024975,All
34.4909,0.025974,0.4779,0.025974,All
35.5434,0.026973,0.480503,0.026973,All
35.7708,0.027972,0.483815,0.027972,All
35.9828,0.028971,0.484585,0.028971,All
36.0131,0.02997,0.485744,0.02997,All
36.3534,0.030969,0.50112,0.030969,All
36.4046,0.031968,0.527613,0.031968,All
36.4857,0.032967,0.53448,0.032967,All
36.945,0.033966,0.541449,0.033966,All
37.1195,0.034965,0.54672,0.034965,All
37.2752,0.035964,0.54692,0.035964,All
37.7647,0.036963,0.552799,0.036963,All
37.8745,0.037962,0.562939,0.037962,All
37.9118,0.038961,0.598381,0.038961,All
38.0091,0.03996,0.598583,0.03996,All
38.0869,0.040959,0.599074,0.040959,All
38.6107,0.041958,0.620952,0.041958,All
38.6872,0.042957,0.626145,0.042957,All
38.707,0.043956,0.626643,0.043956,All
38.9664,0.044955,0.628565,0.044955,All
39.323,0.045954,0.629418,0.045954,All
39.3837,0.046953,0.630092,0.046953,All
39.5572,0.047952,0.631939,0.047952,All
39.7292,0.048951,0.633117,0.048951,All
40.0922,0.04995,0.635362,0.04995,All
40.3327,0.0509491,0.640451,0.0509491,All
40.4457,0.0519481,0.64627,0.0519481,All
40.4576,0.0529471,0.651002,0.0529471,All
40.4927,0.0539461,0.652876,0.0539461,All
40.5313,0.0549451,0.653135,0.0549451,All
40.542,0.0559441,0.656024,0.0559441,All
40.6141,0.0569431,0.659251,0.0569431,All
40.6785,0.0579421,0.667442,0.0579421,All
40.8469,0.0589411,0.673711,0.0589411,All
40.9072,0.0599401,0.683285,0.0599401,All
40.9439,0.0609391,0.684571,0.0609391,All
41.0267,0.0619381,0.70824,0.0619381,All
41.0708,0.0629371,0.712911,0.0629371,All
41.2339,0.0639361,0.712939,0.0639361,All
41.9725,0.0649351,0.714279,0.0649351,All
42.3397,0.0659341,0.7146,0.0659341,All
42.3965,0.0669331,0.716029,0.0669331,All
42.713,0.0679321,0.723373,0.0679321,All
42.745,0.0689311,0.728237,0.0689311,All
42.9962,0.0699301,0.738276,0.0699301,All
43.086,0.0709291,0.74673,0.0709291,All
43.3962,0.0719281,0.750558,0.0719281,All
43.6235,0.0729271,0.750787,0.0729271,All
43.6862,0.0739261,0.752632,0.0739261,All
43.8357,0.0749251,0.770979,0.0749251,All
43.914,0.0759241,0.77702,0.0759241,All
44.0163,0.0769231,0.783091,0.0769231,All
44.0747,0.0779221,0.789668,0.0779221,All
44.135,0.0789211,0.79103,0.0789211,All
44.2998,0.0799201,0.796601,0.0799201,All
44.4078,0.0809191,0.797111,0.0809191,All
44.7305,0.0819181,0.800178,0.0819181,All
44.8502,0.0829171,0.801192,0.0829171,All
45.003,0.0839161,0.8047,0.0839161,All
45.0801,0.0849151,0.807075,0.0849151,All
45.0839,0.0859141,0.807211,0.0859141,All
45.3772,0.0869131,0.807396,0.0869131,All
45.3869,0.0879121,0.80744,0.0879121,All
45.6888,0.0889111,0.809946,0.0889111,All
45.8366,0.0899101,0.811308,0.0899101,All
45.9013,0.0909091,0.816342,0.0909091,All
46.0223,0.0919081,0.817435,0.0919081,All
46.3791,0.0929071,0.82052,0.0929071,All
46.5431,0.0939061,0.822573,0.0939061,All
46.5761,0.0949051,0.825011,0.0949051,All
46.6397,0.0959041,0.825154,0.0959041,All
47.0972,0.0969031,0.830908,0.0969031,All
47.2846,0.0979021,0.836392,0.0979021,All
47.3452,0.0989011,0.836409,0.0989011,All
47.64,0.0999001,0.838471,0.0999001,All
47.9114,0.100899,0.84019,0.100899,All
47.9921,0.101898,0.847868,0.101898,All
48.0019,0.102897,0.848528,0.102897,All
48.4072,0.103896,0.849954,0.103896,All
48.6277,0.104895,0.855389,0.104895,All
48.6393,0.105894,0.857725,0.105894,All
48.703,0.106893,0.865799,0.106893,All
48.7562,0.107892,0.867363,0.107892,All
48.781,0.108891,0.868054,0.108891,All
48.8411,0.10989,0.871311,0.10989,All
49.0852,0.110889,0.871862,0.110889,All
49.4371,0.111888,0.882746,0.111888,All
49.5609,0.112887,0.884046,0.112887,All
49.5839,0.113886,0.885674,0.113886,All
49.6249,0.114885,0.889088,0.114885,All
49.7469,0.115884,0.889501,0.115884,All
49.7636,0.116883,0.896371,0.116883,All
49.8757,0.117882,0.896801,0.117882,All
49.928,0.118881,0.902703,0.118881,All
49.965,0.11988,0.905753,0.11988,All
50.8027,0.120879,0.910822,0.120879,All
50.8618,0.121878,0.91452,0.121878,All
50.891,0.122877,0.915955,0.122877,All
51.1011,0.123876,0.916117,0.123876,All
51.1556,0.124875,0.917896,0.124875,All
51.6613,0.125874,0.918364,0.125874,All
