V_abscissa,V_pdf,Cl_abscissa,Cl_pdf,split
21.3956,0.000870093,0.368303,0.0899025,All
33.236,0.00304532,0.803756,0.307561,All
45.0763,0.00678672,1.23921,0.42822,All
56.9167,0.0122683,1.67466,0.357244,All
68.757,0.0180979,2.11012,0.314659,All
80.5974,0.0205342,2.54557,0.160878,All
92.4377,0.00965803,2.98102,0.120659,All
104.278,0.0056556,3.41648,0.0922683,All
116.118,0.00269729,3.85193,0.0828049,All
127.959,0.00165318,4.28738,0.0567805,All
139.799,0.00113112,4.72284,0.0591464,All
151.639,0.00113112,5.15829,0.0520488,All
163.48,0.000609065,5.59375,0.0378537,All
175.32,0.000261028,6.0292,0.0378537,All
187.16,0.000435046,6.46465,0.033122,All
199.001,0.000696074,6.90011,0.0236585,All
210.841,0.000174019,7.33556,0.0212927,All
222.682,0.000348037,7.77101,0.0307561,All
234.522,0.000261028,8.20647,0.00946342,All
246.362,0,8.64192,0.00946342,All
258.203,0.000174019,9.07737,0.0212927,All
270.043,0,9.51283,0.00709756,All
281.883,8.70093e-05,9.94828,0.00473171,All
293.724,0,10.3837,0,All
305.564,8.70093e-05,10.8192,0.00473171,All
317.404,8.70093e-05,11.2546,0,All
329.245,8.70093e-05,11.6901,0,All
341.085,0,12.1255,0,All
352.925,8.70093e-05,12.561,0.00236585,All
364.766,0,12.9965,0,All
376.606,0,13.4319,0,All
388.446,0.000174019,13.8674,0.00236585,All
