V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
15.4755,0.000971141,0.00294268,0.150576,0.111332,0.0052477,All
19.3026,0.00201132,0.00854576,0.291329,0.287013,0.033914,All
23.1298,0.00329759,0.018653,0.432081,0.391078,0.0825033,All
26.957,0.00466587,0.03389,0.572834,0.433839,0.141123,All
30.7842,0.00597861,0.0542944,0.713587,0.439464,0.202903,All
34.6114,0.00714277,0.0794611,0.854339,0.424851,0.263896,All
38.4386,0.0081076,0.108712,0.995092,0.400143,0.322033,All
42.2657,0.00885496,0.141241,1.13584,0.371152,0.376341,All
46.0929,0.00938879,0.176218,1.2766,0.341126,0.426468,All
49.9201,0.00972634,0.212856,1.41735,0.311827,0.472406,All
53.7473,0.00989169,0.250447,1.5581,0.284155,0.514326,All
57.5745,0.0099114,0.288385,1.69886,0.25852,0.552493,All
61.4017,0.00981173,0.326161,1.83961,0.235051,0.587203,All
65.2288,0.00961708,0.363366,1.98036,0.213723,0.618761,All
69.056,0.00934917,0.39968,2.12111,0.194429,0.647463,All
72.8832,0.00902681,0.434859,2.26187,0.177021,0.673583,All
76.7104,0.00866587,0.468725,2.40262,0.161337,0.697376,All
80.5376,0.00827948,0.501158,2.54337,0.147214,0.719073,All
84.3647,0.00787835,0.532081,2.68412,0.134496,0.738884,All
88.1919,0.00747103,0.561454,2.82488,0.123038,0.756994,All
92.0191,0.00706428,0.589268,2.96563,0.112707,0.773572,All
95.8463,0.00666328,0.615534,3.10638,0.103384,0.788769,All
99.6735,0.00627197,0.640283,3.24713,0.0949591,0.802718,All
103.501,0.00589324,0.663558,3.38789,0.0873378,0.815538,All
107.328,0.00552914,0.685411,3.52864,0.0804342,0.827337,All
111.155,0.00518101,0.705901,3.66939,0.0741724,0.838211,All
114.982,0.00484967,0.72509,3.81015,0.068485,0.848244,All
118.809,0.00453553,0.743044,3.9509,0.0633122,0.857514,All
122.637,0.00423863,0.759828,4.09165,0.058601,0.866089,All
126.464,0.0039588,0.77551,4.2324,0.0543045,0.87403,All
130.291,0.00369565,0.790152,4.37316,0.0503808,0.881393,All
134.118,0.00344866,0.803818,4.51391,0.0467929,0.888228,All
137.945,0.00321722,0.816569,4.65466,0.0435078,0.89458,All
141.772,0.00300065,0.828463,4.79541,0.0404962,0.900489,All
145.6,0.00279824,0.839555,4.93617,0.0377318,0.905991,All
149.427,0.00260923,0.849899,5.07692,0.0351912,0.911121,All
153.254,0.00243289,0.859543,5.21767,0.0328536,0.915907,All
157.081,0.00226848,0.868536,5.35842,0.0307002,0.920378,All
160.908,0.00211527,0.876921,5.49918,0.0287143,0.924557,All
164.736,0.00197257,0.88474,5.63993,0.0268808,0.928468,All
168.563,0.00183971,0.892033,5.78068,0.0251863,0.932131,All
172.39,0.00171604,0.898834,5.92144,0.0236185,0.935564,All
176.217,0.00160095,0.905179,6.06219,0.0221665,0.938785,All
180.044,0.00149385,0.911098,6.20294,0.0208204,0.941809,All
183.871,0.00139421,0.916623,6.34369,0.0195712,0.944651,All
187.699,0.00130151,0.921779,6.48445,0.018411,0.947323,All
191.526,0.00121526,0.926593,6.6252,0.0173323,0.949837,All
195.353,0.00113502,0.931089,6.76595,0.0163285,0.952205,All
199.18,0.00106035,0.935288,6.9067,0.0153936,0.954437,All
203.007,0.000990861,0.939212,7.04746,0.0145222,0.956542,All
206.835,0.00092619,0.942879,7.18821,0.0137092,0.958528,All
210.662,0.000865991,0.946307,7.32896,0.0129501,0.960404,All
214.489,0.000809944,0.949513,7.46971,0.0122408,0.962176,All
218.316,0.000757753,0.952511,7.61047,0.0115775,0.963852,All
222.143,0.000709143,0.955317,7.75122,0.0109568,0.965437,All
225.971,0.000663856,0.957944,7.89197,0.0103754,0.966938,All
229.798,0.000621657,0.960403,8.03273,0.00983054,0.968359,All
233.625,0.000582324,0.962706,8.17348,0.00931952,0.969707,All
237.452,0.000545654,0.964863,8.31423,0.00883991,0.970984,All
241.279,0.000511456,0.966885,8.45498,0.00838949,0.972197,All
245.106,0.000479556,0.968781,8.59574,0.00796619,0.973347,All
248.934,0.00044979,0.970559,8.73649,0.00756813,0.97444,All
252.761,0.000422008,0.972227,8.87724,0.00719357,0.975479,All
