pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4.13832,0.000634115,-4,0,All
-1.50384,0.000634115,-3.62815,0.00126823,-2.41313,0.000634115,All
-1.48516,0.00126823,-3.12705,0.00190235,-2.39619,0.00126823,All
-1.46254,0.00190235,-3.09894,0.00253646,-2.35056,0.00190235,All
-1.4448,0.00253646,-3.05472,0.00317058,-2.34192,0.00253646,All
-1.43422,0.00317058,-3.02352,0.00380469,-2.34168,0.00317058,All
-1.39706,0.00380469,-2.87312,0.00443881,-2.33445,0.00380469,All
-1.37726,0.00443881,-2.7477,0.00507292,-2.32054,0.00443881,All
-1.37637,0.00507292,-2.59431,0.00570704,-2.30528,0.00507292,All
-1.35154,0.00570704,-2.30863,0.00634115,-2.2314,0.00570704,All
-1.34146,0.00634115,-2.29695,0.00697527,-2.21228,0.00634115,All
-1.34003,0.00697527,-2.26575,0.00760938,-2.18892,0.00697527,All
-1.32969,0.00760938,-2.22542,0.0082435,-2.1784,0.00760938,All
-1.32762,0.0082435,-2.0056,0.00887762,-2.16811,0.0082435,All
-1.32583,0.00887762,-1.93158,0.00951173,-2.16522,0.00887762,All
-1.31537,0.00951173,-1.90418,0.0101458,-2.14913,0.00951173,All
-1.30262,0.0101458,-1.76215,0.01078,-2.10334,0.0101458,All
-1.3022,0.01078,-1.75306,0.0114141,-2.08231,0.01078,All
-1.29952,0.0114141,-1.70232,0.0120482,-2.07037,0.0114141,All
-1.29195,0.0120482,-1.68781,0.0126823,-2.06865,0.0120482,All
-1.28815,0.0126823,-1.67242,0.0133164,-2.0649,0.0126823,All
-1.28149,0.0133164,-1.60877,0.0139505,-2.05865,0.0133164,All
-1.27879,0.0139505,-1.52992,0.0145847,-2.05324,0.0139505,All
-1.2727,0.0145847,-1.51027,0.0152188,-2.03889,0.0145847,All
-1.27103,0.0152188,-1.43103,0.0158529,-2.01752,0.0152188,All
-1.27043,0.0158529,-1.33313,0.016487,-2.01491,0.0158529,All
-1.26328,0.016487,-1.3279,0.0171211,-2.01138,0.016487,All
-1.26268,0.0171211,-1.32092,0.0177552,-1.99555,0.0171211,All
-1.26191,0.0177552,-1.306,0.0183893,-1.98754,0.0177552,All
-1.25948,0.0183893,-1.26634,0.0190235,-1.96566,0.0183893,All
-1.25447,0.0190235,-1.26539,0.0196576,-1.96348,0.0190235,All
-1.25107,0.0196576,-1.22429,0.0202917,-1.93181,0.0196576,All
-1.24938,0.0202917,-1.21368,0.0209258,-1.93001,0.0202917,All
-1.24913,0.0209258,-1.21215,0.0215599,-1.92544,0.0209258,All
-1.23865,0.0215599,-1.15088,0.022194,-1.90344,0.0215599,All
-1.23789,0.022194,-1.13119,0.0228282,-1.90268,0.022194,All
-1.23069,0.0228282,-1.11167,0.0234623,-1.89871,0.0228282,All
-1.22915,0.0234623,-1.11147,0.0240964,-1.89388,0.0234623,All
-1.22791,0.0240964,-1.10284,0.0247305,-1.87677,0.0240964,All
-1.22314,0.0247305,-1.08758,0.0253646,-1.86974,0.0247305,All
-1.22279,0.0253646,-1.07926,0.0259987,-1.85148,0.0253646,All
-1.22095,0.0259987,-1.06607,0.0266328,-1.82188,0.0259987,All
-1.19793,0.0266328,-1.065,0.027267,-1.81856,0.0266328,All
-1.19749,0.027267,-1.05047,0.0279011,-1.8078,0.027267,All
-1.19519,0.0279011,-1.04133,0.0285352,-1.80629,0.0279011,All
-1.18319,0.0285352,-1.03669,0.0291693,-1.78283,0.0285352,All
-1.18265,0.0291693,-1.02669,0.0298034,-1.78227,0.0291693,All
-1.18164,0.0298034,-1.02245,0.0304375,-1.77862,0.0298034,All
-1.18072,0.0304375,-1.00872,0.0310717,-1.77751,0.0304375,All
-1.17726,0.0310717,-1.00064,0.0317058,-1.77618,0.0310717,All
-1.17225,0.0317058,-0.989554,0.0323399,-1.76347,0.0317058,All
-1.16953,0.0323399,-0.974125,0.032974,-1.76043,0.0323399,All
-1.1695,0.032974,-0.971001,0.0336081,-1.75316,0.032974,All
-1.16716,0.0336081,-0.966576,0.0342422,-1.75096,0.0336081,All
-1.16463,0.0342422,-0.961662,0.0348763,-1.74042,0.0342422,All
-1.16357,0.0348763,-0.95909,0.0355105,-1.73878,0.0348763,All
-1.15778,0.0355105,-0.941731,0.0361446,-1.72562,0.0355105,All
