pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.3639,0.0882494,-4.05745,0.00401863,-2.34725,0.0394607,All
-1.08403,0.352998,-3.89571,0,-2.21548,0.0295955,All
-0.804151,0.527174,-3.73397,0,-2.0837,0.0443933,All
-0.524277,0.494661,-3.57223,0.00401863,-1.95193,0.0690563,All
-0.244402,0.459826,-3.4105,0,-1.82016,0.0690563,All
0.0354732,0.385511,-3.24876,0,-1.68839,0.118382,All
0.315348,0.306551,-3.08702,0.0160745,-1.55662,0.13318,All
0.595223,0.274038,-2.92528,0.00401863,-1.42485,0.162775,All
0.875098,0.188111,-2.76354,0.00401863,-1.29308,0.192371,All
1.15497,0.15792,-2.6018,0.00401863,-1.16131,0.241697,All
1.43485,0.07896,-2.44006,0,-1.02954,0.221967,All
1.71472,0.0650259,-2.27832,0.0160745,-0.897773,0.256495,All
1.9946,0.0743153,-2.11658,0,-0.766003,0.365012,All
2.27447,0.0348353,-1.95485,0.0120559,-0.634233,0.271292,All
2.55435,0.03948,-1.79311,0.00803726,-0.502463,0.360079,All
2.83422,0.0301906,-1.63137,0.0160745,-0.370692,0.300888,All
3.1141,0.0185788,-1.46963,0.0120559,-0.238922,0.360079,All
3.39397,0.00928941,-1.30789,0.0241118,-0.107152,0.41927,All
3.67385,0.0116118,-1.14615,0.0442049,0.0246182,0.365012,All
3.95372,0.0139341,-0.984412,0.0763539,0.156388,0.365012,All
4.2336,0,-0.822673,0.0843912,0.288159,0.335416,All
4.51347,0.0116118,-0.660934,0.0763539,0.419929,0.305821,All
4.79335,0.00464471,-0.499195,0.192894,0.551699,0.379809,All
5.07322,0,-0.337456,0.23308,0.683469,0.305821,All
5.3531,0.00232235,-0.175718,0.663074,0.815239,0.389675,All
5.63297,0.00232235,-0.0139787,1.13325,0.947009,0.241697,All
5.91285,0.00232235,0.14776,1.06494,1.07878,0.271292,All
6.19272,0,0.309499,0.960452,1.21055,0.226899,All
6.4726,0.00232235,0.471238,0.695223,1.34232,0.147978,All
6.75247,0.00464471,0.632977,0.474198,1.47409,0.147978,All
7.03234,0.00464471,0.794716,0.23308,1.60586,0.0937192,All
7.31222,0.00464471,0.956455,0.112522,1.73763,0.108517,All
7.59209,0.00232235,1.11819,0.0683167,1.8694,0.118382,All
7.87197,0.00232235,1.27993,0.0442049,2.00117,0.0641237,All
8.15184,0,1.44167,0.0281304,2.13294,0.0690563,All
8.43172,0.00232235,1.60341,0.0160745,2.26471,0.0443933,All
8.71159,0,1.76515,0,2.39648,0.0246629,All
8.99147,0.00232235,1.92689,0,2.52825,0.0345281,All
9.27134,0,2.08863,0.00401863,2.66002,0.0197304,All
9.55122,0.00232235,2.25037,0.00803726,2.79179,0.0641237,All
