standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4,0,-4,0,All
-2.7541,0.000999001,-2.55907,0.000999001,All
-2.31747,0.001998,-2.33997,0.001998,All
-2.30589,0.002997,-2.3135,0.002997,All
-2.28327,0.003996,-2.28865,0.003996,All
-2.07659,0.004995,-2.1028,0.004995,All
-1.95641,0.00599401,-2.00654,0.00599401,All
-1.94889,0.00699301,-1.8153,0.00699301,All
-1.88126,0.00799201,-1.79234,0.00799201,All
-1.86074,0.00899101,-1.77367,0.00899101,All
-1.83174,0.00999001,-1.69982,0.00999001,All
-1.78843,0.010989,-1.66682,0.010989,All
-1.75958,0.011988,-1.60588,0.011988,All
-1.71301,0.012987,-1.57963,0.012987,All
-1.70927,0.013986,-1.55668,0.013986,All
-1.66837,0.014985,-1.5442,0.014985,All
-1.64658,0.015984,-1.48982,0.015984,All
-1.63687,0.016983,-1.40132,0.016983,All
-1.56833,0.017982,-1.38129,0.017982,All
-1.5489,0.018981,-1.38055,0.018981,All
-1.54467,0.01998,-1.37295,0.01998,All
-1.53737,0.020979,-1.35232,0.020979,All
-1.51499,0.021978,-1.3455,0.021978,All
-1.49056,0.022977,-1.34218,0.022977,All
-1.43084,0.023976,-1.31251,0.023976,All
-1.41782,0.024975,-1.29838,0.024975,All
-1.41454,0.025974,-1.2765,0.025974,All
-1.36429,0.026973,-1.27047,0.026973,All
-1.35363,0.027972,-1.26284,0.027972,All
-1.34376,0.028971,-1.26108,0.028971,All
-1.34235,0.02997,-1.25842,0.02997,All
-1.32663,0.030969,-1.22382,0.030969,All
-1.32428,0.031968,-1.16661,0.031968,All
-1.32056,0.032967,-1.15225,0.032967,All
-1.29965,0.033966,-1.13786,0.033966,All
-1.29177,0.034965,-1.1271,0.034965,All
-1.28477,0.035964,-1.12669,0.035964,All
-1.26297,0.036963,-1.11482,0.036963,All
-1.25812,0.037962,-1.09464,0.037962,All
-1.25647,0.038961,-1.02683,0.038961,All
-1.25218,0.03996,-1.02646,0.03996,All
-1.24877,0.040959,-1.02555,0.040959,All
-1.22594,0.041958,-0.985714,0.041958,All
-1.22263,0.042957,-0.976466,0.042957,All
-1.22177,0.043956,-0.975582,0.043956,All
-1.21061,0.044955,-0.972182,0.044955,All
-1.19538,0.045954,-0.970676,0.045954,All
-1.1928,0.046953,-0.969487,0.046953,All
-1.18546,0.047952,-0.966236,0.047952,All
-1.17821,0.048951,-0.964168,0.048951,All
-1.163,0.04995,-0.960237,0.04995,All
-1.15301,0.0509491,-0.951379,0.0509491,All
-1.14833,0.0519481,-0.941334,0.0519481,All
-1.14784,0.0529471,-0.933234,0.0529471,All
-1.14639,0.0539461,-0.93004,0.0539461,All
-1.1448,0.0549451,-0.9296,0.0549451,All
-1.14436,0.0559441,-0.924699,0.0559441,All
-1.14139,0.0569431,-0.91925,0.0569431,All
-1.13874,0.0579421,-0.905537,0.0579421,All
-1.13183,0.0589411,-0.895156,0.0589411,All
-1.12937,0.0599401,-0.879485,0.0599401,All
-1.12787,0.0609391,-0.877397,0.0609391,All
-1.12449,0.0619381,-0.83965,0.0619381,All
-1.12269,0.0629371,-0.83235,0.0629371,All
-1.11607,0.0639361,-0.832306,0.0639361,All
-1.0864,0.0649351,-0.830221,0.0649351,All
-1.07184,0.0659341,-0.829722,0.0659341,All
-1.06959,0.0669331,-0.827504,0.0669331,All
-1.05717,0.0679321,-0.816172,0.0679321,All
-1.05591,0.0689311,-0.80873,0.0689311,All
-1.04612,0.0699301,-0.793526,0.0699301,All
-1.04263,0.0709291,-0.780881,0.0709291,All
-1.03064,0.0719281,-0.775202,0.0719281,All
-1.02191,0.0729271,-0.774864,0.0729271,All
-1.01951,0.0739261,-0.772139,0.0739261,All
-1.0138,0.0749251,-0.745393,0.0749251,All
-1.01081,0.0759241,-0.736725,0.0759241,All
-1.00692,0.0769231,-0.728082,0.0769231,All
-1.00471,0.0779221,-0.718794,0.0779221,All
-1.00243,0.0789211,-0.716881,0.0789211,All
-0.996197,0.0799201,-0.709087,0.0799201,All
-0.992127,0.0809191,-0.708376,0.0809191,All
-0.980024,0.0819181,-0.704111,0.0819181,All
-0.975556,0.0829171,-0.702706,0.0829171,All
-0.969871,0.0839161,-0.697854,0.0839161,All
-0.967011,0.0849151,-0.694581,0.0849151,All
-0.966871,0.0859141,-0.694394,0.0859141,All
-0.956032,0.0869131,-0.694139,0.0869131,All
-0.955675,0.0879121,-0.694078,0.0879121,All
-0.944592,0.0889111,-0.690637,0.0889111,All
-0.939193,0.0899101,-0.688772,0.0899101,All
-0.936837,0.0909091,-0.681903,0.0909091,All
-0.932435,0.0919081,-0.680417,0.0919081,All
-0.919527,0.0929071,-0.676234,0.0929071,All
-0.913628,0.0939061,-0.673459,0.0939061,All
-0.912445,0.0949051,-0.670171,0.0949051,All
-0.910164,0.0959041,-0.669979,0.0959041,All
-0.893847,0.0969031,-0.662263,0.0969031,All
-0.887208,0.0979021,-0.654957,0.0979021,All
-0.885068,0.0989011,-0.654935,0.0989011,All
-0.874694,0.0999001,-0.652201,0.0999001,All
-0.865198,0.100899,-0.649925,0.100899,All
-0.862384,0.101898,-0.639824,0.101898,All
-0.862044,0.102897,-0.638959,0.102897,All
-0.84799,0.103896,-0.637095,0.103896,All
-0.840393,0.104895,-0.630016,0.104895,All
-0.839995,0.105894,-0.626987,0.105894,All
-0.837807,0.106893,-0.616583,0.106893,All
-0.835984,0.107892,-0.614578,0.107892,All
-0.835134,0.108891,-0.613694,0.108891,All
-0.833074,0.10989,-0.609535,0.10989,All
-0.824743,0.110889,-0.608834,0.110889,All
-0.812803,0.111888,-0.595056,0.111888,All
-0.808623,0.112887,-0.593421,0.112887,All
-0.807848,0.113886,-0.591379,0.113886,All
-0.806466,0.114885,-0.587107,0.114885,All
-0.802362,0.115884,-0.58659,0.115884,All
-0.801799,0.116883,-0.578047,0.116883,All
-0.798039,0.117882,-0.577514,0.117882,All
-0.796286,0.118881,-0.57023,0.118881,All
-0.795048,0.11988,-0.566484,0.11988,All
-0.767259,0.120879,-0.560287,0.120879,All
-0.765314,0.121878,-0.555786,0.121878,All
-0.764355,0.122877,-0.554045,0.122877,All
-0.757469,0.123876,-0.55385,0.123876,All
-0.755688,0.124875,-0.551695,0.124875,All
-0.739244,0.125874,-0.551129,0.125874,All
-0.737507,0.126873,-0.544075,0.126873,All
-0.735341,0.127872,-0.543959,0.127872,All
-0.732539,0.128871,-0.535026,0.128871,All
-0.727551,0.12987,-0.532582,0.12987,All
-0.725303,0.130869,-0.532388,0.130869,All
-0.70884,0.131868,-0.529692,0.131868,All
-0.706918,0.132867,-0.528559,0.132867,All
-0.704339,0.133866,-0.523905,0.133866,All
-0.700704,0.134865,-0.521113,0.134865,All
-0.690574,0.135864,-0.51768,0.135864,All
-0.689984,0.136863,-0.513086,0.136863,All
-0.689243,0.137862,-0.509479,0.137862,All
-0.687806,0.138861,-0.508388,0.138861,All
-0.686986,0.13986,-0.495541,0.13986,All
-0.680245,0.140859,-0.495232,0.140859,All
-0.678693,0.141858,-0.494075,0.141858,All
-0.677976,0.142857,-0.493971,0.142857,All
-0.677142,0.143856,-0.493642,0.143856,All
-0.676839,0.144855,-0.493052,0.144855,All
-0.676144,0.145854,-0.492541,0.145854,All
-0.674914,0.146853,-0.489694,0.146853,All
-0.674093,0.147852,-0.489427,0.147852,All
-0.663332,0.148851,-0.487326,0.148851,All
-0.661635,0.14985,-0.484232,0.14985,All
-0.66006,0.150849,-0.480625,0.150849,All
-0.6565,0.151848,-0.478707,0.151848,All
-0.655362,0.152847,-0.473874,0.152847,All
-0.651618,0.153846,-0.473694,0.153846,All
-0.643993,0.154845,-0.472301,0.154845,All
-0.639414,0.155844,-0.470519,0.155844,All
-0.6385,0.156843,-0.467835,0.156843,All
-0.637028,0.157842,-0.466132,0.157842,All
-0.636861,0.158841,-0.458897,0.158841,All
-0.634005,0.15984,-0.454727,0.15984,All
-0.631466,0.160839,-0.450195,0.160839,All
-0.629859,0.161838,-0.449227,0.161838,All
-0.629328,0.162837,-0.445566,0.162837,All
-0.622712,0.163836,-0.445222,0.163836,All
-0.622401,0.164835,-0.440358,0.164835,All
-0.61882,0.165834,-0.438674,0.165834,All
-0.616704,0.166833,-0.438565,0.166833,All
-0.613544,0.167832,-0.437156,0.167832,All
-0.612269,0.168831,-0.43169,0.168831,All
-0.612263,0.16983,-0.429809,0.16983,All
-0.604705,0.170829,-0.420754,0.170829,All
-0.602882,0.171828,-0.418432,0.171828,All
-0.601439,0.172827,-0.417216,0.172827,All
-0.597294,0.173826,-0.416654,0.173826,All
-0.596651,0.174825,-0.416012,0.174825,All
-0.595152,0.175824,-0.411245,0.175824,All
-0.593888,0.176823,-0.410721,0.176823,All
-0.59199,0.177822,-0.407031,0.177822,All
-0.589017,0.178821,-0.404577,0.178821,All
-0.58867,0.17982,-0.396895,0.17982,All
-0.587933,0.180819,-0.395007,0.180819,All
-0.584552,0.181818,-0.394675,0.181818,All
-0.58424,0.182817,-0.389881,0.182817,All
-0.579471,0.183816,-0.387641,0.183816,All
-0.573889,0.184815,-0.385648,0.184815,All
-0.566643,0.185814,-0.384506,0.185814,All
-0.566587,0.186813,-0.383413,0.186813,All
-0.566036,0.187812,-0.372681,0.187812,All
-0.565675,0.188811,-0.370991,0.188811,All
-0.564955,0.18981,-0.36911,0.18981,All
-0.562608,0.190809,-0.365575,0.190809,All
-0.561758,0.191808,-0.36215,0.191808,All
-0.560993,0.192807,-0.358036,0.192807,All
-0.559438,0.193806,-0.355568,0.193806,All
-0.559028,0.194805,-0.355521,0.194805,All
-0.55612,0.195804,-0.353753,0.195804,All
-0.555605,0.196803,-0.352588,0.196803,All
-0.555597,0.197802,-0.352161,0.197802,All
-0.555543,0.198801,-0.349816,0.198801,All
-0.55284,0.1998,-0.34941,0.1998,All
-0.552422,0.200799,-0.34745,0.200799,All
-0.549733,0.201798,-0.346076,0.201798,All
-0.548973,0.202797,-0.343358,0.202797,All
-0.546211,0.203796,-0.34066,0.203796,All
-0.545025,0.204795,-0.333596,0.204795,All
-0.539429,0.205794,-0.333279,0.205794,All
-0.537427,0.206793,-0.331852,0.206793,All
-0.536823,0.207792,-0.329693,0.207792,All
-0.532179,0.208791,-0.32404,0.208791,All
-0.527991,0.20979,-0.321978,0.20979,All
-0.527623,0.210789,-0.320965,0.210789,All
-0.526772,0.211788,-0.320946,0.211788,All
-0.526105,0.212787,-0.31976,0.212787,All
-0.523575,0.213786,-0.319636,0.213786,All
-0.5205,0.214785,-0.319447,0.214785,All
-0.51849,0.215784,-0.318839,0.215784,All
-0.512733,0.216783,-0.317011,0.216783,All
-0.512688,0.217782,-0.315051,0.217782,All
-0.508801,0.218781,-0.314385,0.218781,All
-0.503871,0.21978,-0.308284,0.21978,All
-0.503719,0.220779,-0.306158,0.220779,All
-0.501783,0.221778,-0.305452,0.221778,All
-0.500847,0.222777,-0.304771,0.222777,All
-0.500102,0.223776,-0.301286,0.223776,All
-0.499201,0.224775,-0.300223,0.224775,All
-0.497681,0.225774,-0.298379,0.225774,All
-0.495475,0.226773,-0.291862,0.226773,All
-0.494516,0.227772,-0.291303,0.227772,All
-0.49434,0.228771,-0.288524,0.228771,All
-0.493108,0.22977,-0.286415,0.22977,All
-0.490725,0.230769,-0.285851,0.230769,All
-0.477258,0.231768,-0.285139,0.231768,All
-0.476807,0.232767,-0.282934,0.232767,All
-0.473181,0.233766,-0.280702,0.233766,All
-0.467433,0.234765,-0.277224,0.234765,All
-0.459932,0.235764,-0.266646,0.235764,All
-0.457466,0.236763,-0.264599,0.236763,All
-0.456599,0.237762,-0.264321,0.237762,All
-0.453645,0.238761,-0.262416,0.238761,All
-0.453211,0.23976,-0.261539,0.23976,All
-0.452138,0.240759,-0.259665,0.240759,All
-0.449952,0.241758,-0.257733,0.241758,All
-0.445981,0.242757,-0.256262,0.242757,All
-0.444505,0.243756,-0.256209,0.243756,All
-0.442588,0.244755,-0.253551,0.244755,All
-0.439371,0.245754,-0.252544,0.245754,All
-0.437552,0.246753,-0.252054,0.246753,All
-0.436151,0.247752,-0.251443,0.247752,All
-0.436066,0.248751,-0.249044,0.248751,All
-0.435886,0.24975,-0.248422,0.24975,All
-0.430545,0.250749,-0.247775,0.250749,All
-0.428651,0.251748,-0.247576,0.251748,All
-0.427401,0.252747,-0.244789,0.252747,All
-0.426469,0.253746,-0.244666,0.253746,All
-0.425888,0.254745,-0.241974,0.254745,All
-0.422764,0.255744,-0.240016,0.255744,All
-0.419577,0.256743,-0.2374,0.256743,All
-0.41758,0.257742,-0.236719,0.257742,All
-0.416845,0.258741,-0.234623,0.258741,All
-0.416463,0.25974,-0.23021,0.25974,All
-0.414817,0.260739,-0.227039,0.260739,All
-0.413574,0.261738,-0.224672,0.261738,All
-0.413503,0.262737,-0.222759,0.262737,All
-0.412089,0.263736,-0.22219,0.263736,All
-0.410284,0.264735,-0.217689,0.264735,All
-0.408904,0.265734,-0.213878,0.265734,All
-0.407981,0.266733,-0.208713,0.266733,All
-0.407136,0.267732,-0.208113,0.267732,All
-0.401689,0.268731,-0.207331,0.268731,All
-0.40066,0.26973,-0.206568,0.26973,All
-0.400149,0.270729,-0.206298,0.270729,All
-0.399876,0.271728,-0.203162,0.271728,All
-0.388858,0.272727,-0.201012,0.272727,All
-0.388674,0.273726,-0.198644,0.273726,All
-0.388143,0.274725,-0.193597,0.274725,All
-0.386705,0.275724,-0.192794,0.275724,All
-0.384311,0.276723,-0.191455,0.276723,All
-0.383713,0.277722,-0.187937,0.277722,All
-0.380841,0.278721,-0.184508,0.278721,All
-0.380077,0.27972,-0.1804,0.27972,All
-0.378273,0.280719,-0.180255,0.280719,All
-0.374352,0.281718,-0.179385,0.281718,All
-0.371255,0.282717,-0.17405,0.282717,All
-0.368986,0.283716,-0.173326,0.283716,All
-0.368918,0.284715,-0.172942,0.284715,All
-0.367899,0.285714,-0.170363,0.285714,All
-0.366815,0.286713,-0.170259,0.286713,All
-0.353105,0.287712,-0.163989,0.287712,All
-0.352864,0.288711,-0.163745,0.288711,All
-0.352166,0.28971,-0.161624,0.28971,All
-0.351245,0.290709,-0.1616,0.290709,All
-0.350829,0.291708,-0.161483,0.291708,All
-0.350634,0.292707,-0.161372,0.292707,All
-0.350117,0.293706,-0.159265,0.293706,All
-0.349258,0.294705,-0.15897,0.294705,All
-0.348696,0.295704,-0.158858,0.295704,All
-0.347108,0.296703,-0.158637,0.296703,All
-0.345672,0.297702,-0.157636,0.297702,All
-0.342147,0.298701,-0.152772,0.298701,All
-0.341493,0.2997,-0.150906,0.2997,All
-0.339501,0.300699,-0.146591,0.300699,All
-0.336693,0.301698,-0.144229,0.301698,All
-0.336083,0.302697,-0.132763,0.302697,All
