standEta_V_abscissa,standEta_V_pdf,standEta_Cl_abscissa,standEta_Cl_pdf,split
-2.66954,0.00609125,-2.48032,0.00654117,All
-2.5004,0,-2.32282,0.0196235,All
-2.33127,0.0182737,-2.16532,0.00654117,All
-2.16214,0,-2.00782,0.00654117,All
-1.99301,0.0182737,-1.85033,0.0196235,All
-1.82388,0.0304562,-1.69283,0.0130823,All
-1.65475,0.0304562,-1.53533,0.0327059,All
-1.48562,0.0548212,-1.37783,0.0523294,All
-1.31649,0.0913687,-1.22033,0.0588705,All
-1.14735,0.158372,-1.06284,0.0588705,All
-0.978223,0.182737,-0.905339,0.163529,All
-0.809092,0.207102,-0.747841,0.189694,All
-0.639961,0.414205,-0.590343,0.268188,All
-0.47083,0.469026,-0.432845,0.379388,All
-0.301699,0.663946,-0.275348,0.516752,All
-0.132567,0.968508,-0.11785,0.484047,All
0.0365637,0.998964,0.0396479,0.50367,All
0.205695,0.542121,0.197146,0.582164,All
0.374826,0.365475,0.354643,0.634494,All
0.543957,0.286289,0.512141,0.418635,All
0.713088,0.152281,0.669639,0.274729,All
0.88222,0.109642,0.827137,0.366306,All
1.05135,0.0791862,0.984635,0.307435,All
1.22048,0.0548212,1.14213,0.215859,All
1.38961,0.0426387,1.29963,0.209317,All
1.55874,0.0548212,1.45713,0.228941,All
1.72788,0.0426387,1.61463,0.202776,All
1.89701,0.0121825,1.77212,0.156988,All
2.06614,0.00609125,1.92962,0.0981176,All
2.23527,0.0121825,2.08712,0.0457882,All
2.4044,0.0121825,2.24462,0.0130823,All
2.57353,0.0121825,2.40211,0.0130823,All
