trans_Cl_vs_AGE_abscissa,trans_Cl_vs_AGE_spline,trans_Cl_vs_AGE_regression,trans_Cl_vs_AnionGap_abscissa,trans_Cl_vs_AnionGap_spline,trans_Cl_vs_AnionGap_regression,trans_Cl_vs_BUN_abscissa,trans_Cl_vs_BUN_spline,trans_Cl_vs_BUN_regression,trans_Cl_vs_Ca_abscissa,trans_Cl_vs_Ca_spline,trans_Cl_vs_Ca_regression,trans_Cl_vs_Chloride_abscissa,trans_Cl_vs_Chloride_spline,trans_Cl_vs_Chloride_regression,trans_Cl_vs_Creatinine_abscissa,trans_Cl_vs_Creatinine_spline,trans_Cl_vs_Creatinine_regression,trans_Cl_vs_Glucose_abscissa,trans_Cl_vs_Glucose_spline,trans_Cl_vs_Glucose_regression,trans_Cl_vs_HCO3_abscissa,trans_Cl_vs_HCO3_spline,trans_Cl_vs_HCO3_regression,trans_Cl_vs_HCT_abscissa,trans_Cl_vs_HCT_spline,trans_Cl_vs_HCT_regression,trans_Cl_vs_HR_abscissa,trans_Cl_vs_HR_spline,trans_Cl_vs_HR_regression,trans_Cl_vs_Hb_abscissa,trans_Cl_vs_Hb_spline,trans_Cl_vs_Hb_regression,trans_Cl_vs_K_abscissa,trans_Cl_vs_K_spline,trans_Cl_vs_K_regression,trans_Cl_vs_LacticAcid_abscissa,trans_Cl_vs_LacticAcid_spline,trans_Cl_vs_LacticAcid_regression,trans_Cl_vs_Na_abscissa,trans_Cl_vs_Na_spline,trans_Cl_vs_Na_regression,trans_Cl_vs_P_abscissa,trans_Cl_vs_P_spline,trans_Cl_vs_P_regression,trans_Cl_vs_PLT_abscissa,trans_Cl_vs_PLT_spline,trans_Cl_vs_PLT_regression,trans_Cl_vs_Temperature_abscissa,trans_Cl_vs_Temperature_spline,trans_Cl_vs_Temperature_regression,trans_Cl_vs_WBC_abscissa,trans_Cl_vs_WBC_spline,trans_Cl_vs_WBC_regression,trans_Cl_vs_WT_abscissa,trans_Cl_vs_WT_spline,trans_Cl_vs_WT_regression,trans_V_vs_AGE_abscissa,trans_V_vs_AGE_spline,trans_V_vs_AGE_regression,trans_V_vs_AnionGap_abscissa,trans_V_vs_AnionGap_spline,trans_V_vs_AnionGap_regression,trans_V_vs_BUN_abscissa,trans_V_vs_BUN_spline,trans_V_vs_BUN_regression,trans_V_vs_Ca_abscissa,trans_V_vs_Ca_spline,trans_V_vs_Ca_regression,trans_V_vs_Chloride_abscissa,trans_V_vs_Chloride_spline,trans_V_vs_Chloride_regression,trans_V_vs_Creatinine_abscissa,trans_V_vs_Creatinine_spline,trans_V_vs_Creatinine_regression,trans_V_vs_Glucose_abscissa,trans_V_vs_Glucose_spline,trans_V_vs_Glucose_regression,trans_V_vs_HCO3_abscissa,trans_V_vs_HCO3_spline,trans_V_vs_HCO3_regression,trans_V_vs_HCT_abscissa,trans_V_vs_HCT_spline,trans_V_vs_HCT_regression,trans_V_vs_HR_abscissa,trans_V_vs_HR_spline,trans_V_vs_HR_regression,trans_V_vs_Hb_abscissa,trans_V_vs_Hb_spline,trans_V_vs_Hb_regression,trans_V_vs_K_abscissa,trans_V_vs_K_spline,trans_V_vs_K_regression,trans_V_vs_LacticAcid_abscissa,trans_V_vs_LacticAcid_spline,trans_V_vs_LacticAcid_regression,trans_V_vs_Na_abscissa,trans_V_vs_Na_spline,trans_V_vs_Na_regression,trans_V_vs_P_abscissa,trans_V_vs_P_spline,trans_V_vs_P_regression,trans_V_vs_PLT_abscissa,trans_V_vs_PLT_spline,trans_V_vs_PLT_regression,trans_V_vs_Temperature_abscissa,trans_V_vs_Temperature_spline,trans_V_vs_Temperature_regression,trans_V_vs_WBC_abscissa,trans_V_vs_WBC_spline,trans_V_vs_WBC_regression,trans_V_vs_WT_abscissa,trans_V_vs_WT_spline,trans_V_vs_WT_regression,split
19,1.17807,1.07725,6,0.764513,0.77968,1,1.2548,0.804738,4.6,0.283954,0.487107,74,0.436387,0.3938,0.2,0.393652,0.776409,30,0.380991,0.428867,8,0.609138,0.139768,15.8,0.0618365,0.120705,39,-0.136521,0.28503,4.8,-0.0737288,0.0309737,2.5,0.524738,0.548503,0.5,0.40688,0.503945,118,0.825345,0.474447,0.4,1.24996,0.853076,12,0.525855,0.429437,34.4,0.04247,-0.0975202,0.1,0.536802,0.482866,25.1,1.13276,0.126173,19,4.73142,4.5316,6,4.45007,4.50746,1,4.55782,4.55635,4.6,4.26407,4.37097,74,4.64457,4.43566,0.2,4.19103,4.54376,30,4.26014,4.36916,8,4.30461,4.20918,15.8,4.18078,4.18927,39,4.22693,4.34255,4.8,4.08317,4.15769,2.5,4.19725,4.41474,0.5,4.32471,4.41504,118,4.82663,4.40492,0.4,4.57079,4.60274,12,4.28817,4.39323,34.4,4.1691,4.21682,0.1,4.14385,4.40735,25.1,4.65456,4.2129,All
19.7273,1.04749,1.06645,6.33333,0.788591,0.766639,2.77778,0.955074,0.782205,4.72323,0.229422,0.484506,74.7677,0.433874,0.394333,0.294949,0.669057,0.746647,35.596,0.375675,0.428231,8.36364,0.365808,0.147144,16.198,0.0489833,0.128141,40.3535,0.157394,0.288207,4.95051,0.00358048,0.0416365,2.56061,0.546491,0.543646,0.664646,0.325846,0.496463,118.576,0.737062,0.472825,0.507071,0.978464,0.839161,23.9697,0.354354,0.428593,35.1071,0.0964586,-0.0918561,0.823232,0.245388,0.47964,26.998,0.770583,0.135662,19.7273,4.7153,4.52919,6.33333,4.48635,4.50303,2.77778,4.5243,4.54635,4.72323,4.18212,4.37143,74.7677,4.59881,4.43438,0.294949,4.57474,4.53057,35.596,4.53132,4.36984,8.36364,4.19167,4.21384,16.198,4.16812,4.19418,40.3535,4.35421,4.34355,4.95051,4.11854,4.16395,2.56061,4.29489,4.4136,0.664646,4.28798,4.41239,118.576,4.74158,4.40434,0.507071,4.42727,4.59578,23.9697,4.24767,4.39265,35.1071,4.23754,4.21866,0.823232,4.46579,4.40621,26.998,4.49501,4.21851,All
20.4545,0.916906,1.05565,6.66667,0.81267,0.753598,4.55556,0.965534,0.759672,4.84646,0.174891,0.481905,75.5354,0.431361,0.394866,0.389899,0.797321,0.716884,41.1919,0.345316,0.427596,8.72727,0.122479,0.154519,16.596,0.0435645,0.135577,41.7071,0.324075,0.291384,5.10101,0.0808898,0.0522994,2.62121,0.559304,0.538789,0.829293,0.45822,0.488982,119.152,0.64878,0.471203,0.614141,0.797732,0.825246,35.9394,0.431846,0.427749,35.8141,0.147692,-0.0861921,1.54646,0.544229,0.476415,28.896,0.408404,0.145151,20.4545,4.69918,4.52677,6.66667,4.52263,4.4986,4.55556,4.48223,4.53636,4.84646,4.10016,4.37189,75.5354,4.55306,4.43309,0.389899,4.5877,4.51737,41.1919,4.58272,4.37053,8.72727,4.07874,4.21851,16.596,4.15789,4.19908,41.7071,4.42642,4.34456,5.10101,4.15391,4.17022,2.62121,4.37032,4.41247,0.829293,4.36364,4.40974,119.152,4.65653,4.40375,0.614141,4.347,4.58881,35.9394,4.25152,4.39208,35.8141,4.30352,4.22051,1.54646,4.28263,4.40508,28.896,4.33547,4.22411,All
21.1818,0.812127,1.04485,7,0.836748,0.740558,6.33333,0.889012,0.737138,4.9697,0.12036,0.479304,76.303,0.428848,0.395399,0.484848,0.919167,0.687122,46.7879,0.309876,0.42696,9.09091,-0.0734736,0.161894,16.9939,0.0412472,0.143013,43.0606,0.374427,0.294562,5.25152,0.158199,0.0629622,2.68182,0.555517,0.533932,0.993939,0.429971,0.4815,119.727,0.560497,0.46958,0.721212,0.633026,0.811331,47.9091,0.599406,0.426905,36.5212,0.195928,-0.080528,2.2697,0.645685,0.47319,30.7939,0.203678,0.15464,21.1818,4.67977,4.52436,7,4.55891,4.49417,6.33333,4.53898,4.52636,4.9697,4.01821,4.37235,76.303,4.5073,4.43181,0.484848,4.54262,4.50417,46.7879,4.51525,4.37121,9.09091,3.99444,4.22318,16.9939,4.14892,4.20399,43.0606,4.44827,4.34556,5.25152,4.18929,4.17649,2.68182,4.40448,4.41134,0.993939,4.39146,4.40709,119.727,4.57148,4.40317,0.721212,4.2777,4.58185,47.9091,4.40432,4.3915,36.5212,4.3668,4.22235,2.2697,4.39894,4.40395,30.7939,4.23823,4.22971,All
21.9091,0.784764,1.03405,7.33333,0.816892,0.727517,8.11111,0.733869,0.714605,5.09293,0.0658281,0.476703,77.0707,0.426334,0.395932,0.579798,0.78073,0.65736,52.3838,0.283924,0.426325,9.45455,-0.127292,0.169269,17.3919,0.0489678,0.150449,44.4141,0.424779,0.297739,5.40202,0.234338,0.0736251,2.74242,0.544284,0.529075,1.15859,0.501274,0.474018,120.303,0.472215,0.467958,0.828283,0.549171,0.797416,59.8788,0.192773,0.42606,37.2283,0.242614,-0.074864,2.99293,0.655452,0.469965,32.6919,0.0913419,0.16413,21.9091,4.6505,4.52194,7.33333,4.55512,4.48973,8.11111,4.58793,4.51637,5.09293,3.93626,4.37281,77.0707,4.46154,4.43053,0.579798,4.51295,4.49097,52.3838,4.38388,4.37189,9.45455,3.99604,4.22785,17.3919,4.144,4.20889,44.4141,4.47012,4.34656,5.40202,4.22434,4.18276,2.74242,4.40912,4.4102,1.15859,4.42152,4.40444,120.303,4.48643,4.40259,0.828283,4.26338,4.57488,59.8788,4.28404,4.39093,37.2283,4.42868,4.22419,2.99293,4.44804,4.40282,32.6919,4.17869,4.23531,All
22.6364,0.796789,1.02325,7.66667,0.797036,0.714476,9.88889,0.891258,0.692072,5.21616,0.0188449,0.474102,77.8384,0.423821,0.396465,0.674747,0.686798,0.627597,57.9798,0.286642,0.425689,9.81818,-0.181111,0.176645,17.7899,0.0566883,0.157885,45.7677,0.475131,0.300916,5.55253,0.224441,0.0842879,2.80303,0.530073,0.524218,1.32323,0.612573,0.466536,120.879,0.383932,0.466336,0.935354,0.509855,0.783501,71.8485,0.465233,0.425216,37.9354,0.285233,-0.0691999,3.71616,0.456189,0.46674,34.5899,0.0573657,0.173619,22.6364,4.61778,4.51953,7.66667,4.55132,4.4853,9.88889,4.61903,4.50638,5.21616,3.86883,4.37327,77.8384,4.41578,4.42924,0.674747,4.5202,4.47777,57.9798,4.27099,4.37258,9.81818,3.99765,4.23252,17.7899,4.13908,4.2138,45.7677,4.49197,4.34756,5.55253,4.23594,4.18903,2.80303,4.40005,4.40907,1.32323,4.43652,4.40178,120.879,4.40138,4.402,0.935354,4.27847,4.56792,71.8485,4.35012,4.39035,37.9354,4.48685,4.22603,3.71616,4.43074,4.40168,34.5899,4.15281,4.24092,All
23.3636,0.828025,1.01244,8,0.777181,0.701436,11.6667,0.812415,0.669539,5.33939,0.0218681,0.471501,78.6061,0.421308,0.396998,0.769697,0.605788,0.597835,63.5758,0.333436,0.425054,10.1818,-0.183632,0.18402,18.1879,0.0726228,0.165321,47.1212,0.513614,0.304093,5.70303,0.202193,0.0949507,2.86364,0.519916,0.519361,1.48788,0.49261,0.459055,121.455,0.33903,0.464714,1.04242,0.488066,0.769586,83.8182,0.335726,0.424372,38.6424,0.326269,-0.0635359,4.43939,0.408042,0.463515,36.4879,0.0637495,0.183108,23.3636,4.58444,4.51711,8,4.54753,4.48087,11.6667,4.57637,4.49638,5.33939,3.89763,4.37373,78.6061,4.37003,4.42796,0.769697,4.48225,4.46457,63.5758,4.25457,4.37326,10.1818,4.02421,4.23719,18.1879,4.13839,4.2187,47.1212,4.50845,4.34856,5.70303,4.24353,4.19529,2.86364,4.37113,4.40793,1.48788,4.46969,4.39913,121.455,4.35621,4.40142,1.04242,4.30452,4.56095,83.8182,4.46646,4.38978,38.6424,4.54356,4.22788,4.43939,4.42307,4.40055,36.4879,4.14597,4.24652,All
24.0909,0.87401,1.00164,8.33333,0.716264,0.688395,13.4444,0.702389,0.647006,5.46263,0.0376513,0.4689,79.3737,0.418795,0.397531,0.864646,0.563748,0.568072,69.1717,0.35385,0.424418,10.5455,-0.134854,0.191395,18.5859,0.0927899,0.172757,48.4747,0.431438,0.30727,5.85354,0.165071,0.105614,2.92424,0.514108,0.514504,1.65253,0.441769,0.451573,122.03,0.305696,0.463091,1.14949,0.501598,0.755671,95.7879,0.350183,0.423528,39.3495,0.364272,-0.0578718,5.16263,0.496611,0.460289,38.3859,0.0976076,0.192597,24.0909,4.55136,4.5147,8.33333,4.51709,4.47644,13.4444,4.50671,4.48639,5.46263,3.9424,4.37419,79.3737,4.32427,4.42667,0.864646,4.44083,4.45137,69.1717,4.30413,4.37394,10.5455,4.07572,4.24186,18.5859,4.14039,4.22361,48.4747,4.47039,4.34956,5.85354,4.24543,4.20156,2.92424,4.34665,4.4068,1.65253,4.37817,4.39648,122.03,4.32167,4.40083,1.14949,4.352,4.55399,95.7879,4.34596,4.3892,39.3495,4.59746,4.22972,5.16263,4.4154,4.39942,38.3859,4.15376,4.25212,All
24.8182,0.928148,0.990841,8.66667,0.655348,0.675354,15.2222,0.647591,0.624473,5.58586,0.065783,0.4663,80.1414,0.414277,0.398064,0.959596,0.530365,0.53831,74.7677,0.248418,0.423783,10.9091,-0.0860755,0.19877,18.9838,0.117265,0.180193,49.8283,0.342686,0.310448,6.00404,0.126066,0.116276,2.98485,0.514826,0.509647,1.81717,0.387336,0.444091,122.606,0.272363,0.461469,1.25657,0.530687,0.741756,107.758,0.399255,0.422683,40.0566,0.386957,-0.0522078,5.88586,0.358495,0.457064,40.2838,0.143192,0.202087,24.8182,4.52121,4.51228,8.66667,4.48665,4.47201,15.2222,4.5147,4.47639,5.58586,4.00261,4.37465,80.1414,4.2881,4.42539,0.959596,4.4522,4.43817,74.7677,4.3081,4.37463,10.9091,4.12722,4.24653,18.9838,4.14577,4.22851,49.8283,4.42791,4.35057,6.00404,4.24554,4.20783,2.98485,4.32883,4.40567,1.81717,4.40053,4.39383,122.606,4.28713,4.40025,1.25657,4.40711,4.54702,107.758,4.47925,4.38863,40.0566,4.63219,4.23156,5.88586,4.4244,4.39829,40.2838,4.1719,4.25772,All
25.5455,0.975889,0.980039,9,0.594432,0.662314,17,0.63504,0.60194,5.70909,0.114193,0.463699,80.9091,0.400882,0.398597,1.05455,0.486015,0.508548,80.3636,0.430609,0.423147,11.2727,-0.0255354,0.206146,19.3818,0.143867,0.187629,51.1818,0.251478,0.313625,6.15455,0.0907907,0.126939,3.04545,0.509011,0.50479,1.98182,0.498492,0.436609,123.182,0.239029,0.459847,1.36364,0.566114,0.727841,119.727,0.379245,0.421839,40.7636,0.382744,-0.0465437,6.60909,0.403597,0.453839,42.1818,0.175268,0.211576,25.5455,4.4963,4.50987,9,4.4562,4.46758,17,4.44665,4.4664,5.70909,4.0779,4.37511,80.9091,4.29437,4.42411,1.05455,4.42736,4.42497,80.3636,4.3678,4.37531,11.2727,4.16767,4.2512,19.3818,4.15311,4.23342,51.1818,4.38306,4.35157,6.15455,4.24411,4.2141,3.04545,4.35449,4.40453,1.98182,4.31574,4.39118,123.182,4.2526,4.39967,1.36364,4.46289,4.54006,119.727,4.39862,4.38805,40.7636,4.63326,4.2334,6.60909,4.3972,4.39716,42.1818,4.19147,4.26333,All
