popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
2.31733,14.9648,2.31733,1.5249,3.10977,2.29279,2.34574,2.29279,1.50874,3.07683,All
2.48627,15.214,2.48627,1.63606,3.33648,2.44741,2.52412,2.44741,1.61049,3.28433,All
2.66752,15.4281,2.66752,1.75534,3.57971,2.61246,2.71453,2.61246,1.7191,3.50582,All
2.86199,15.6277,2.86199,1.8833,3.84067,2.78864,2.91188,2.78864,1.83503,3.74224,All
3.07063,15.7776,3.07063,2.0206,4.12066,2.9767,3.11065,2.9767,1.95879,3.99461,All
3.29448,15.8672,3.29448,2.1679,4.42107,3.17744,3.32282,3.17744,2.09088,4.264,All
3.53466,15.9375,3.53466,2.32594,4.74337,3.39173,3.53939,3.39173,2.23189,4.55156,All
3.79234,15.925,3.79234,2.49551,5.08917,3.44515,3.5925,3.44515,2.26705,4.62326,All
3.83416,15.9227,3.83416,2.52303,5.14529,3.62046,3.76488,3.62046,2.38241,4.85851,All
4.0688,15.8557,4.0688,2.67743,5.46017,3.86462,4.00219,3.86462,2.54307,5.18616,All
4.36542,15.7088,4.36542,2.87262,5.85823,4.12524,4.25451,4.12524,2.71457,5.53591,All
4.68367,15.4862,4.68367,3.08204,6.2853,4.40344,4.52542,4.40344,2.89764,5.90924,All
5.02511,15.1889,5.02511,3.30672,6.7435,4.59752,4.71774,4.59752,3.02535,6.16968,All
5.35098,14.8603,5.35098,3.52116,7.1808,4.7004,4.8214,4.7004,3.09305,6.30775,All
5.39145,14.8185,5.39145,3.54779,7.23511,5.01739,5.14868,5.01739,3.30164,6.73314,All
5.78449,14.4608,5.78449,3.80643,7.76256,5.35576,5.50649,5.35576,3.5243,7.18721,All
6.20619,14.3202,6.20619,4.08392,8.32846,5.71694,5.88626,5.71694,3.76197,7.67191,All
