iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,b
1,18435.3,1,1,0.5,1,1,0.3
2,17149.1,1,1.96095,0.457998,1.02277,0.974679,0.452377
3,17672.1,1,2.24208,0.482255,1.04664,0.95,0.508638
4,17679.6,1,2.65693,0.521197,1.06933,0.925945,0.519484
5,17678.6,1,3.15905,0.566133,1.11281,0.9025,0.529751
6,17635.9,1,3.75718,0.621852,1.17305,0.879648,0.525046
7,17620.5,1,4.85801,0.699181,1.2352,0.857375,0.512492
8,17540.6,1,6.69708,0.774566,1.30484,0.835666,0.498598
9,17383.7,1,9.31227,0.861413,1.41021,0.814506,0.473668
10,16892.2,1,13.6122,0.963991,1.48726,0.793882,0.449985
11,16507.6,1,22.1706,1.06797,1.47849,0.773781,0.427486
12,16101.7,1,30.1454,1.15111,1.44106,0.754188,0.406112
13,15723.2,1,39.7135,1.24892,1.40457,0.735092,0.385806
14,15259.1,1,52.2593,1.26733,1.369,0.716479,0.366516
15,15026.7,1,59.5008,1.28357,1.33434,0.69924,0.34819
16,14785.4,1,66.1686,1.30479,1.30055,0.699818,0.33078
17,14456.7,1,71.092,1.28208,1.26762,0.682099,0.314241
18,14413.6,1,74.7555,1.27482,1.23553,0.681078,0.298529
19,14115.7,1,74.9045,1.27335,1.20424,0.673995,0.283603
20,13964,1,77.1827,1.2985,1.17375,0.671452,0.269423
21,13949.4,1,78.2338,1.29108,1.14403,0.67858,0.262654
22,13848.3,1,78.896,1.28406,1.11506,0.67405,0.257159
23,13661.2,1,77.957,1.31414,1.08683,0.675362,0.246165
24,13495,1,80.2118,1.33267,1.05931,0.659517,0.242158
25,13498.5,1,79.4678,1.35258,1.03249,0.685115,0.239712
26,13441.6,1,79.2071,1.36785,1.00634,0.705339,0.230295
27,13334.8,1,81.1883,1.37498,0.980863,0.695249,0.228313
28,13264.9,1,81.7613,1.35093,0.956027,0.678464,0.225225
29,13074.6,1,81.6368,1.37437,0.93182,0.692938,0.213964
30,13055.4,1,80.4869,1.41313,0.908226,0.710588,0.211598
31,12981.7,1,82.0669,1.40912,0.885229,0.716019,0.210419
32,12905.2,1,81.3374,1.42156,0.862814,0.70658,0.208648
33,12926.4,1,82.037,1.43903,0.840967,0.735706,0.207797
34,12935,1,80.6571,1.43614,0.819674,0.7421,0.207784
35,12915.4,1,81.8433,1.44604,0.802349,0.772421,0.204164
36,12920.8,1,81.0594,1.43751,0.782033,0.779325,0.206367
37,12826.2,1,81.3346,1.43923,0.767411,0.789162,0.199691
38,12835.7,1,80.0409,1.45102,0.760854,0.812188,0.197184
39,12797.7,1,78.7628,1.48171,0.748251,0.826474,0.194379
40,12825.4,1,79.7217,1.42879,0.736286,0.84227,0.194992
41,12749.1,1,79.3105,1.47864,0.721722,0.820943,0.196762
42,12649.4,1,81.268,1.5065,0.718667,0.800157,0.195881
43,12767.4,1,80.527,1.51346,0.710321,0.819061,0.200536
44,12788.3,1,82.2184,1.48419,0.714477,0.821308,0.203198
45,12902.3,1,83.1995,1.40587,0.697621,0.873726,0.202559
46,12821.6,1,85.8376,1.4383,0.694215,0.85454,0.201829
47,12856.8,1,86.2047,1.39986,0.705923,0.853817,0.203207
48,12913.6,1,83.7153,1.40611,0.709241,0.866681,0.202973
49,12894.6,1,84.1696,1.36612,0.725382,0.859119,0.198968
50,12973.8,1,81.2332,1.39889,0.721811,0.897449,0.199122
51,12939.8,1,82.3774,1.36528,0.713454,0.878565,0.201745
52,13025.9,1,82.0826,1.35068,0.723676,0.896573,0.200443
53,12982.1,1,82.4385,1.36492,0.716544,0.895215,0.201402
54,12908.9,1,81.388,1.38287,0.70878,0.882582,0.200122
55,12988.3,1,81.5375,1.40658,0.690833,0.894949,0.207096
56,12932.3,1,81.2532,1.40353,0.686084,0.877487,0.206235
57,12876,1,80.9053,1.41813,0.672333,0.863516,0.205581
58,12834.2,1,83.8174,1.43092,0.668698,0.858023,0.206061
59,12920.4,1,85.0965,1.40746,0.688033,0.846188,0.209387
60,12839.9,1,84.2148,1.42997,0.692344,0.854529,0.203373
61,12883.7,1,84.8431,1.43249,0.684884,0.860664,0.207441
62,12878.1,1,85.1789,1.44051,0.69184,0.853202,0.206337
63,12872.9,1,84.2027,1.45373,0.674322,0.844414,0.210895
64,12872.5,1,85.4557,1.42246,0.689438,0.85544,0.205647
65,12825.3,1,81.553,1.46116,0.678127,0.871571,0.20299
66,12817.3,1,80.5484,1.4581,0.681477,0.849502,0.203554
67,12864,1,81.8818,1.43147,0.698322,0.830181,0.205253
68,12861.4,1,84.453,1.40217,0.68064,0.859682,0.205146
69,12947.8,1,84.4908,1.39344,0.663406,0.888079,0.210949
70,12986.6,1,86.559,1.34099,0.676064,0.89217,0.208196
71,12995.4,1,86.1917,1.35808,0.671321,0.892595,0.209831
72,12998.3,1,84.1811,1.37802,0.673539,0.885607,0.212168
73,13017.8,1,86.3243,1.38528,0.670057,0.893697,0.21435
74,13006.7,1,83.8041,1.37213,0.65309,0.890777,0.217588
75,12959.3,1,85.8087,1.34895,0.658299,0.890899,0.212715
76,12970.3,1,85.115,1.32622,0.652716,0.895178,0.212425
77,12988.2,1,85.0562,1.35096,0.654943,0.896917,0.212283
78,12958.4,1,81.6279,1.41002,0.656033,0.891504,0.210441
79,12847.2,1,81.0053,1.4389,0.646872,0.875249,0.207792
80,12725.5,1,80.2088,1.46415,0.639591,0.874819,0.202233
81,12797.5,1,78.7988,1.47415,0.658782,0.895236,0.199397
82,12720.5,1,79.2024,1.46051,0.659294,0.872568,0.198669
83,12718.2,1,80.0078,1.45076,0.653929,0.877721,0.198653
