time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
1.86667,0.742006,1.86667,0.281212,1.86667,0.62493,2.31733,2.14585,2.29279,0.0689963,2.31733,1.49799,All
2.0731,0.675862,2.0731,0.275916,2.0731,0.580801,2.48627,2.1582,2.44741,0.0905551,2.48627,1.4756,All
2.30237,0.602403,2.30237,0.270036,2.30237,0.531792,2.66752,2.15758,2.61246,0.113568,2.66752,1.45455,All
2.55699,0.541354,2.55699,0.264967,2.55699,0.489619,2.86199,2.14919,2.78864,0.132303,2.86199,1.43345,All
2.83976,0.489843,2.83976,0.260497,2.83976,0.452545,3.07063,2.12384,2.9767,0.140561,3.07063,1.41323,All
3.15381,0.432636,3.15381,0.255532,3.15381,0.411371,3.29448,2.07894,3.17744,0.149375,3.29448,1.39284,All
3.50259,0.410119,3.50259,0.252914,3.50259,0.390532,3.53466,2.02444,3.39173,0.148829,3.53466,1.3711,All
3.88995,0.386855,3.88995,0.250131,3.88995,0.368446,3.79234,1.94497,3.44515,0.147789,3.79234,1.34662,All
4.32014,0.376512,4.32014,0.24812,4.32014,0.353554,3.83416,1.932,3.62046,0.142387,3.83416,1.34265,All
4.7979,0.395465,4.7979,0.248,4.7979,0.35606,4.0688,1.8469,3.86462,0.131816,4.0688,1.31769,All
5.3285,0.428775,5.3285,0.248695,5.3285,0.366917,4.36542,1.72585,4.12524,0.119005,4.36542,1.28063,All
5.91778,0.483856,5.91778,0.250641,5.91778,0.391636,4.68367,1.58299,4.40344,0.106261,4.68367,1.23143,All
6.57223,0.549195,6.57223,0.252957,6.57223,0.423862,5.02511,1.41953,4.59752,0.100093,5.02511,1.16523,All
7.29905,0.609817,7.29905,0.254463,7.29905,0.456049,5.35098,1.25806,4.7004,0.0982916,5.35098,1.08525,All
8.10626,0.63949,8.10626,0.253147,8.10626,0.474289,5.39145,1.23841,5.01739,0.0997949,5.39145,1.07446,All
8.90533,0.605542,8.90533,0.246987,8.90533,0.460405,5.78449,1.07618,5.35576,0.109477,5.78449,0.977148,All
9.00273,0.597687,9.00273,0.245959,9.00273,0.456787,6.20619,1.00928,5.71694,0.119626,6.20619,0.923652,All
9.99834,0.486386,9.99834,0.233567,9.99834,0.402483,6.65863,1.05416,5.74988,0.12038,6.65863,0.938237,All
11.1041,0.38393,11.1041,0.222644,11.1041,0.347703,6.8678,1.10037,6.10248,0.120105,6.8678,0.966564,All
12.3321,0.33351,12.3321,0.201736,12.3321,0.304455,7.14405,1.15524,6.51402,0.113195,7.14405,1.00549,All
13.6959,0.299242,13.6959,0.160065,13.6959,0.251041,7.66486,1.09488,6.90224,0.116059,7.66486,0.979393,All
15.2105,0.23332,15.2105,0.148361,15.2105,0.193498,8.22364,0.891088,6.95332,0.117214,8.22364,0.841548,All
15.944,0.199818,15.944,0.156689,15.944,0.176282,8.38463,0.932441,7.42224,0.119948,8.38463,0.864869,All
16.8926,0.188261,16.8926,0.162201,16.8926,0.178329,8.82315,0.917512,7.92279,0.109959,8.82315,0.844126,All
18.7608,0.272704,18.7608,0.164268,18.7608,0.23826,9.46637,0.801598,8.05461,0.116689,9.46637,0.788842,All
20.8355,0.245419,20.8355,0.147649,20.8355,0.212297,9.90145,0.736561,8.45709,0.13134,9.90145,0.710668,All
22.9827,0.158335,22.9827,0.160602,22.9827,0.128392,10.1565,0.720901,9.02742,0.13731,10.1565,0.690901,All
23.1397,0.15011,23.1397,0.14557,23.1397,0.119428,10.8969,0.898989,9.20697,0.150611,10.8969,0.762659,All
